


		Rh/Fe THERMOMETER CALIBRATION FILE
		----------------------------------

Temperature K	Resistance in ohms

          NEXT SENSOR

	85
1.505 1.51222
2.012 1.58700
2.827 1.70045
3.220 1.75224
4.030 1.85289
4.234 1.87697
4.610 1.92012
5.407 2.00605
6.189 2.08424
7.010 2.16015
8.145 2.25640
10.063 2.39909
13.003 2.58156
16.003 2.73501
20.034 2.90693
22.513 3.00058
25.201 3.09636
27.357 3.17128
30.134 3.26927
35.297 3.46490
40.170 3.67702
50.209 4.22539
60.270 4.93347
70.182 5.76456
80.493 6.73409
90.396 7.73353
100.431 8.78740
125.456 11.48352
150.323 14.15690
175.328 16.8018
200.383 19.4113
225.320 21.9794
250.672 24.5735
273.127 26.8652
273.251 26.8779
300.309 29.6417
    325.00000     32.16644
    350.00000     34.72091
    375.00000     37.27539
    400.00000     39.82986
 
(******************************************************************************)
 
          NEXT SENSOR
 
	1764
1.497 1.53699
2.029 1.62677
2.803 1.75030
3.208 1.81149
4.006 1.92485
4.222 1.95406
5.399 2.10241
6.221 2.19632
7.011 2.28006
8.002 2.37698
10.065 2.55502
13.079 2.77073
16.047 2.94638
20.002 3.14232
25.086 3.35783
27.193 3.44187
30.370 3.56844
35.193 3.77102
40.072 4.00010
50.047 4.57322
59.916 5.28718
70.300 6.17348
80.313 7.12516
90.305 8.13699
100.192 9.17458
125.327 11.86698
150.396 14.53458
175.610  17.16603
200.765 19.74474
225.816 22.27950
250.719 24.77965
273.088 27.01758
273.355 27.04417
299.869 29.69576
    325.00000     32.21567
    350.00000     34.71937
    375.00000     37.22307
    400.00000     39.72677
 
(******************************************************************************)
 
          NEXT SENSOR
 
	88
1.506 1.53580
2.013 1.61000
2.826 1.72280
3.218 1.77425
4.029 1.87515
4.235 1.89946
4.609 1.94219
5.407 2.02867
6.189 2.10731
7.010 2.18368
8.145 2.28035
10.064 2.42441
13.001 2.60806
16.001 2.76296
20.033 2.93645
25.201 3.12715
27.357 3.20280
30.134 3.30149
35.297 3.49822
40.170 3.71121
50.207 4.26111
60.271 4.97045
70.182 5.80224
80.494 6.77252
90.397 7.77225
100.434 8.82653
125.457 11.52193
150.324 14.19457
175.329 16.83838
200.384 19.44639
225.322 22.01358
250.671 24.60574
273.127 26.89652
273.251 26.90917
300.309 29.67116
    325.00000     32.19436
    350.00000     34.74732
    375.00000     37.30029
    400.00000     39.85326
 
(******************************************************************************)
 
          NEXT SENSOR
 
        89
1.506 1.32045
2.012 1.40033
2.826 1.52185
3.218 1.57747
4.029 1.68555
4.235 1.71188
4.609 1.75795
5.407 1.85071
6.189 1.93505
7.010 2.01716
8.145 2.12108
10.064 2.27622
13.000 2.47455
16.001 2.64214
20.033 2.83009
22.513 2.93212
25.201 3.03618
27.357 3.11719
30.134 3.22228
35.297 3.42944
40.170 3.65069
50.207 4.21463
60.271 4.93523
70.182 5.77600
80.494 6.75389
90.397 7.75932
100.434 8.81813
125.457 11.52061
150.325 14.19624
175.329 16.84010
200.384 19.44619
225.322 22.00978
250.671 24.59703
273.127 26.88238
273.251 26.89505
300.309 29.64966
    325.00000     32.16756
    350.00000     34.71463
    375.00000     37.26170
    400.00000     39.80877
 
(******************************************************************************)
 
          NEXT SENSOR
 
        90
1.506 1.52641
2.012 1.59987
2.826 1.71166
3.218 1.76292
4.029 1.86256
4.235 1.88674
4.609 1.92873
5.407 2.01396
6.189 2.09118
7.010 2.16629
8.145 2.26124
10.064 2.40231
13.000 2.58223
16.001 2.73358
20.033 2.90341
22.513 2.99569
25.201 3.09028
27.357 3.16466
30.134 3.26178
35.297 3.45625
40.170 3.66776
50.207 4.21621
60.271 4.92597
70.183 5.75919
80.494 6.73191
90.397 7.73438
100.435 8.79168
125.457 11.49500
150.325 14.17579
175.329 16.82762
200.384 19.44348
225.322 22.01859
250.671 24.61881
273.127 26.91674
273.251 26.92941
    325.00000     32.23310
    350.00000     34.79461
    375.00000     37.35612
    400.00000     39.91763
 
(******************************************************************************)
 
          NEXT SENSOR
 
        108
1.505 1.53049
2.012 1.60582
2.826 1.71965
3.219 1.77174
4.029 1.87289
4.234 1.89737
4.610 1.94029
5.407 2.02703
6.189 2.10562
7.010 2.18196
8.145 2.27856
10.063 2.42236
13.002 2.60586
16.002 2.76026
20.033 2.93344
25.201 3.12387
27.357 3.19945
30.134 3.29796
35.297 3.49444
40.170 3.70741
50.208 4.25730
60.271 4.96684
70.182 5.79920
80.494 6.77007
90.397 7.77061
100.433 8.82560
125.457 11.52355
150.324 14.19879
175.328 16.84542
200.383 19.45627
225.321 22.02606
250.671 24.62125
273.127 26.91465
273.251 26.92732
